,cities,Lat,Temperature,Humidity,Cloudiness (%),Wind Speed (mph)
61,andros town,24.73,78.8,83.0,20.0,5.73
62,yulara,-25.24,82.4,12.0,0.0,8.05
63,linjiang,41.81,54.08,67.0,76.0,7.63
64,kahului,20.89,75.06,69.0,40.0,6.93
65,cabo san lucas,22.89,78.8,78.0,5.0,4.7
66,vilcun,-38.65,42.02,94.0,88.0,7.96
67,georgetown,6.8,75.2,100.0,40.0,2.24
68,antofagasta,-23.65,59.0,77.0,90.0,4.7
69,port lincoln,-34.72,59.75,87.0,20.0,14.23
70,maturin,9.75,76.58,93.0,48.0,3.94
71,rio grande,-32.03,67.76,94.0,92.0,7.96
72,ostrow mazowiecka,52.8,52.73,63.0,36.0,11.65
73,tezu,27.93,72.71,78.0,68.0,1.81
74,opuwo,-18.06,67.67,30.0,12.0,4.94
75,new norfolk,-42.78,48.2,60.0,75.0,19.46
76,bluff,-23.58,83.33,24.0,0.0,12.21
77,comodoro rivadavia,-45.87,42.8,81.0,0.0,3.36
78,ambilobe,-13.19,83.6,43.0,0.0,13.0
79,barrow,-38.31,49.67,43.0,0.0,6.96
80,vera cruz,-22.22,64.79,65.0,0.0,10.76
81,betafo,-19.84,73.88,32.0,0.0,3.38
82,chifeng,42.27,59.93,30.0,32.0,12.77
83,otane,-39.89,55.07,64.0,0.0,1.14
84,kodiak,39.95,50.0,96.0,1.0,3.38
85,atuona,-9.8,79.55,100.0,0.0,8.63
86,hobyo,5.35,80.63,73.0,0.0,19.15
87,bowling green,36.99,64.83,96.0,90.0,4.7
88,son la,21.32,82.79,62.0,0.0,1.7
89,bambous virieux,-20.34,78.8,65.0,40.0,17.22
90,faya,18.39,78.8,16.0,0.0,6.93
91,aklavik,68.22,34.55,91.0,92.0,7.4
92,saint-leu,-21.15,79.74,54.0,0.0,6.93
93,kumluca,36.37,68.03,44.0,0.0,1.92
94,klyuchi,52.25,57.5,75.0,92.0,12.66
95,markala,13.69,76.13,83.0,32.0,2.59
96,ayan,40.67,57.05,69.0,0.0,2.93
97,cayambe,0.04,38.06,93.0,32.0,0.92
98,sisimiut,66.94,18.53,100.0,32.0,3.49
99,lebu,8.96,66.2,52.0,20.0,6.73
100,skibbereen,51.55,44.6,93.0,40.0,13.87
101,sabzevar,36.21,75.2,27.0,0.0,11.41
102,bilma,18.69,76.76,23.0,8.0,5.73
103,faanui,-16.48,75.14,100.0,92.0,20.04
104,marathon,48.72,39.32,100.0,92.0,13.67
105,tuktoyaktuk,69.44,28.43,100.0,36.0,11.32
106,byron bay,-28.65,69.8,64.0,0.0,9.17
107,poum,41.28,55.4,87.0,20.0,4.7
108,kapaa,22.08,78.66,87.0,75.0,13.87
109,esperance,10.24,75.2,100.0,20.0,4.72
110,east london,-33.02,60.8,77.0,0.0,2.24
111,altay,47.83,56.42,47.0,44.0,3.04
112,fort nelson,58.81,41.0,56.0,20.0,4.7
113,belyy yar,53.6,62.6,67.0,0.0,4.47
114,vestmannaeyjar,63.44,35.63,100.0,0.0,5.61
115,husavik,50.56,39.5,96.0,76.0,12.66
116,chokurdakh,70.62,35.63,90.0,88.0,6.62
117,shwebo,22.57,89.81,88.0,32.0,0.69
118,constitucion,23.99,59.93,97.0,88.0,0.81
119,boa vista,2.82,78.8,78.0,0.0,3.36
120,romitan,39.93,77.0,36.0,0.0,4.7
121,jieshi,22.82,81.17,100.0,80.0,6.73
122,verkhnevilyuysk,63.45,54.62,56.0,8.0,4.83
123,chandrapur,19.95,86.48,88.0,12.0,5.95
124,berdigestyakh,62.1,47.42,70.0,24.0,9.53
125,mount isa,-20.73,89.6,17.0,0.0,9.17
126,sorong,-0.86,84.77,96.0,32.0,13.78
127,porto novo,-23.68,64.4,88.0,20.0,6.93
128,mayo,63.59,41.0,86.0,90.0,5.82
129,naze,5.43,71.9,98.0,92.0,1.14
130,pevek,69.7,43.91,99.0,48.0,1.81
131,ginda,30.69,55.61,100.0,92.0,1.7
132,tasiilaq,65.61,30.2,74.0,20.0,1.12
133,briancon,44.9,42.47,85.0,0.0,1.59
134,yellowknife,62.45,42.83,77.0,0.0,20.38
135,saint-augustin,44.83,67.19,100.0,90.0,4.7
136,tiznit,29.7,70.1,84.0,0.0,3.71
137,coahuayana,18.62,68.48,81.0,80.0,4.61
138,nizwa,22.93,96.56,20.0,0.0,4.05
139,callaguip,18.07,87.8,74.0,20.0,9.17
140,stjordalshalsen,63.47,42.8,93.0,75.0,21.92
141,geraldton,49.72,33.74,95.0,92.0,5.17
142,aleppo,36.2,76.22,67.0,0.0,7.63
143,bredasdorp,-34.53,53.6,93.0,0.0,3.36
144,petrolina de goias,-16.09,68.0,52.0,0.0,5.82
145,waycross,31.21,71.26,90.0,1.0,2.59
146,erzin,36.95,81.63,69.0,20.0,4.38
147,quatre cocos,-20.21,78.8,65.0,40.0,17.22
148,bethel,60.79,48.02,92.0,75.0,19.46
149,sinfra,6.62,73.61,98.0,92.0,2.93
150,havre-saint-pierre,50.23,38.33,68.0,0.0,13.56
151,guane,22.2,75.14,97.0,8.0,2.59
152,provideniya,64.42,46.61,92.0,0.0,13.0
153,ucluelet,48.94,51.38,100.0,100.0,1.81
154,soyo,-6.13,73.25,90.0,92.0,3.83
155,havelock,34.88,68.74,100.0,1.0,4.94
156,kandrian,-6.21,78.83,85.0,92.0,7.63
157,russell,-33.01,68.0,68.0,0.0,13.87
158,cidreira,-30.17,69.38,81.0,20.0,8.19
159,fairbanks,64.84,46.94,96.0,90.0,3.38
160,san quintin,17.54,87.8,74.0,20.0,9.17
161,alice springs,-23.7,84.2,9.0,0.0,3.36
162,benghazi,32.12,79.28,99.0,0.0,8.97
163,katsuura,33.93,77.0,73.0,75.0,4.7
164,saint-philippe,45.36,42.57,87.0,1.0,5.82
165,mar del plata,-46.43,35.45,100.0,8.0,5.61
166,kavaratti,10.57,81.35,100.0,64.0,2.71
167,saint george,39.45,73.4,46.0,0.0,4.7
168,cayenne,4.94,73.4,100.0,20.0,7.4
169,cristalina,-16.77,63.89,75.0,20.0,4.5
170,butaritari,3.07,85.49,100.0,12.0,5.17
171,belmonte,40.36,53.81,74.0,0.0,2.48
172,sayat,38.78,80.6,22.0,0.0,4.7
173,port alfred,-33.59,63.44,98.0,12.0,5.17
174,port macquarie,-31.43,71.6,43.0,0.0,19.46
175,vardo,39.62,58.6,74.0,20.0,4.7
176,santo domingo,18.48,75.2,94.0,40.0,5.82
177,kalety,50.56,55.4,62.0,0.0,11.41
178,kiama,-34.67,60.8,63.0,90.0,11.41
179,khani,41.96,71.6,78.0,40.0,5.82
180,kirakira,-10.46,81.8,100.0,20.0,16.46
181,mattru,7.62,73.34,99.0,88.0,2.93
182,kasama,-10.21,69.2,39.0,0.0,6.73
183,kenai,60.55,51.08,73.0,1.0,16.11
184,fallon,46.84,44.96,92.0,90.0,13.87
185,pontes e lacerda,-15.23,69.47,87.0,36.0,2.59
186,xunchang,28.45,71.81,91.0,76.0,2.37
187,vostok,46.45,58.58,66.0,20.0,2.93
188,vanavara,60.35,54.35,55.0,32.0,4.16
189,severo-kurilsk,50.68,51.11,90.0,36.0,5.73
190,ilulissat,69.22,33.8,40.0,12.0,17.22
191,ribeira grande,38.52,75.2,83.0,40.0,11.41
192,castro,-42.48,44.63,99.0,80.0,8.63
193,khandyga,62.65,42.47,97.0,88.0,4.38
194,saint-pierre,48.95,65.21,93.0,90.0,20.8
195,marquette,46.54,52.09,83.0,90.0,5.82
196,birin,35.01,74.69,57.0,0.0,6.06
197,tuatapere,-46.13,47.15,100.0,0.0,11.21
198,trelew,-43.25,39.95,88.0,0.0,3.83
199,airai,-8.93,87.38,34.0,12.0,2.04
200,ostrovnoy,68.05,50.66,84.0,32.0,18.59
201,srednekolymsk,67.46,35.18,91.0,80.0,3.38
202,rocha,-34.48,65.69,100.0,92.0,3.83
203,vyazma,55.21,50.3,98.0,92.0,8.75
204,dwarahat,29.78,63.35,95.0,100.0,2.37
205,nuuk,64.17,41.0,65.0,80.0,21.92
206,bacolod,10.68,81.17,91.0,76.0,3.15
207,muswellbrook,-32.27,67.94,67.0,68.0,2.71
208,likasi,-10.99,69.38,48.0,64.0,11.32
209,baiao,-2.79,76.58,89.0,0.0,4.38
210,muisne,0.61,71.45,93.0,68.0,2.93
211,cherskiy,68.75,35.81,89.0,88.0,2.26
212,victoria,5.28,87.03,79.0,75.0,10.29
213,meru,0.05,68.21,74.0,0.0,4.94
214,tete,-16.16,71.81,76.0,68.0,9.98
215,sohag,26.55,76.85,55.0,0.0,4.94
216,valparaiso,41.47,49.42,87.0,1.0,3.83
217,pochutla,15.74,83.33,100.0,76.0,4.94
218,san patricio,-26.98,76.67,76.0,0.0,5.61
219,pisco,-13.71,60.8,87.0,8.0,6.93
220,srivardhan,18.03,79.55,91.0,92.0,7.85
221,calabozo,8.92,72.89,97.0,88.0,3.83
222,lavrentiya,65.58,45.53,88.0,0.0,19.93
223,tiksi,71.64,34.1,94.0,8.0,12.44
224,sambava,-14.27,74.51,100.0,0.0,15.35
225,teya,21.05,73.4,94.0,20.0,2.37
226,gat,14.69,78.29,95.0,32.0,7.07
227,sitka,37.17,50.39,83.0,0.0,3.04
228,mingyue,43.11,55.61,78.0,36.0,2.37
229,port elizabeth,39.31,62.6,75.0,75.0,5.82
230,rapid city,44.08,55.44,76.0,1.0,2.59
231,vytegra,61.01,52.73,100.0,92.0,11.77
232,pacific grove,36.62,53.87,93.0,90.0,3.36
233,vila franca do campo,37.72,68.0,88.0,20.0,3.36
234,nangong,37.36,77.93,30.0,0.0,6.96
235,kalundborg,55.68,50.0,87.0,40.0,10.29
236,zelenogorskiy,55.03,57.2,71.0,0.0,11.18
237,fortuna,38.18,65.55,88.0,0.0,2.48
238,sangmelima,2.93,71.18,95.0,92.0,2.71
239,narsaq,60.91,46.4,31.0,92.0,39.15
240,mandawar,29.49,80.9,84.0,24.0,17.02
241,concepcion del uruguay,-32.48,68.0,88.0,40.0,5.82
242,avera,33.19,70.14,92.0,1.0,5.61
243,forest grove,45.52,52.57,89.0,1.0,2.48
244,meulaboh,4.14,82.43,100.0,48.0,9.75
245,bloomfield,40.81,59.07,100.0,1.0,3.38
246,mehamn,71.03,47.15,91.0,12.0,19.71
247,tucuman,-17.17,47.87,80.0,8.0,1.59
248,okhotsk,59.36,52.73,74.0,68.0,5.28
249,karachi,24.87,84.14,84.0,0.0,9.08
250,ninghai,29.29,80.6,74.0,75.0,6.71
251,gizo,31.8,80.6,69.0,20.0,1.12
252,cockburn town,21.46,82.97,100.0,8.0,13.0
253,lima,-12.06,55.25,72.0,12.0,2.59
254,augustow,53.84,52.01,79.0,0.0,16.24
255,iquitos,-3.75,75.2,94.0,0.0,3.36
256,maldonado,-34.91,60.8,93.0,0.0,4.7
257,bitung,1.44,89.6,49.0,20.0,9.17
258,itarema,-2.92,76.94,89.0,88.0,14.0
259,turukhansk,65.8,51.29,97.0,48.0,13.33
260,nadym,65.53,50.03,84.0,80.0,10.2
261,xinqing,48.28,53.36,73.0,92.0,2.93
262,deputatskiy,69.3,35.63,61.0,8.0,4.38
263,akdepe,42.05,69.78,53.0,0.0,11.41
264,iracoubo,5.48,78.02,83.0,0.0,5.06
265,pyra,-1.82,75.41,87.0,0.0,7.85
266,alta floresta,-9.87,72.8,89.0,76.0,2.37
267,caucaia,-3.73,77.0,88.0,40.0,9.17
268,gorontalo,0.54,89.09,46.0,20.0,3.94
269,ancud,-41.87,46.07,95.0,92.0,8.19
270,lompoc,34.64,55.92,93.0,90.0,3.36
271,sobolevo,54.43,49.67,97.0,36.0,10.76
272,elko,40.83,53.96,10.0,1.0,3.83
273,gotsu,35.01,77.0,65.0,0.0,4.7
274,vao,59.1,50.21,84.0,56.0,11.77
275,khatanga,71.98,46.52,99.0,80.0,7.18
276,calama,-22.46,44.6,28.0,0.0,14.99
277,gerash,27.67,93.2,30.0,0.0,3.04
278,komsomolskoye,45.02,64.43,84.0,12.0,4.38
279,rorvik,64.86,48.05,100.0,92.0,22.84
280,mizan teferi,6.99,67.58,89.0,48.0,3.15
281,hami,42.84,73.43,40.0,64.0,3.71
282,ixtapa,20.71,78.8,100.0,90.0,6.93
283,rock sound,24.9,83.87,100.0,76.0,8.19
284,ulaangom,49.98,53.18,48.0,8.0,1.7
285,gryazi,52.5,66.5,49.0,0.0,16.58
286,concepcion,9.56,72.35,99.0,92.0,2.82
287,bathsheba,13.22,78.8,88.0,40.0,9.17
288,atar,20.52,68.48,48.0,0.0,3.71
289,codrington,-28.95,72.8,60.0,0.0,3.38
290,biak,-0.91,83.06,78.0,20.0,7.96
291,ossora,59.24,48.5,97.0,0.0,4.38
292,haapiti,-17.57,77.0,65.0,40.0,1.12
293,tucumcari,35.17,55.94,74.0,1.0,4.7
294,chulman,56.84,43.91,75.0,92.0,7.18
295,rio do sul,-27.22,58.4,95.0,24.0,2.04
296,tarakan,3.3,88.28,76.0,8.0,3.94
297,seoul,37.57,76.37,38.0,20.0,11.41
298,petropavlovsk-kamchatskiy,53.05,57.2,50.0,0.0,6.71
299,carnarvon,-30.97,46.25,43.0,12.0,5.39
300,lannion,48.73,64.4,93.0,90.0,14.99
301,vila,45.18,65.32,100.0,68.0,3.36
302,ileza,61.05,64.07,78.0,12.0,16.91
303,labuhan,-2.54,89.54,53.0,76.0,3.71
304,nanortalik,60.14,38.69,100.0,92.0,40.06
305,ponnani,10.77,86.0,70.0,40.0,5.82
306,marsh harbour,26.54,82.07,100.0,20.0,8.97
307,naryan-mar,67.67,58.76,89.0,0.0,14.67
308,beloha,-25.17,74.33,75.0,24.0,11.65
309,laguna,27.52,78.83,81.0,0.0,2.26
310,teknaf,20.86,88.91,76.0,44.0,3.71
311,grindavik,63.84,34.65,80.0,75.0,9.17
312,college,64.86,46.94,96.0,90.0,3.38
313,taoudenni,22.68,73.7,33.0,0.0,9.98
314,doha,25.29,95.0,63.0,0.0,6.93
315,la ronge,55.1,33.8,64.0,5.0,9.17
316,karratha,-20.74,97.82,11.0,0.0,12.1
317,fare,-16.7,76.94,100.0,92.0,21.05
318,benguela,-12.58,68.66,100.0,92.0,1.7
319,palmer,61.6,53.26,66.0,90.0,5.82
320,vanimo,-2.67,82.52,100.0,0.0,7.85
321,kondagaon,19.59,82.34,95.0,20.0,5.39
322,guerrero negro,27.97,68.21,100.0,44.0,7.29
323,iskateley,67.68,59.12,89.0,0.0,15.9
324,arraial do cabo,-22.97,67.04,99.0,88.0,2.37
325,roma,41.89,64.35,100.0,0.0,2.59
326,ambulu,-8.35,81.44,83.0,0.0,10.98
327,frederikshavn,57.44,55.61,100.0,0.0,29.77
328,mount gambier,-37.83,54.08,65.0,12.0,7.07
329,galveston,40.58,50.2,87.0,1.0,4.7
330,sao filipe,14.9,78.47,95.0,0.0,16.24
331,ojinaga,29.56,59.57,76.0,12.0,3.49
332,diffa,13.32,79.91,54.0,12.0,4.83
333,cairns,-16.92,71.6,83.0,75.0,14.99
334,zhangye,38.94,67.22,61.0,12.0,4.61
335,praia,-20.25,69.8,64.0,0.0,9.17
336,bereda,43.27,62.6,100.0,75.0,1.12
337,te anau,-45.41,42.65,100.0,64.0,2.59
338,tocopilla,-22.09,54.98,100.0,20.0,3.94
339,baniyas,35.18,80.6,57.0,20.0,4.7
340,aquiraz,-3.9,77.0,88.0,40.0,9.17
341,vryheid,-27.77,57.5,100.0,88.0,3.94
342,qidong,31.81,79.73,80.0,20.0,16.46
343,emerald,-23.53,83.33,28.0,0.0,10.76
344,yarmouth,50.71,48.9,100.0,75.0,11.41
345,ulaanbaatar,47.92,55.4,32.0,20.0,4.47
346,haflong,25.18,81.8,78.0,64.0,2.59
347,kulhudhuffushi,6.62,80.45,100.0,64.0,6.06
348,praia da vitoria,38.73,71.6,94.0,20.0,11.77
349,port hardy,50.7,46.4,87.0,5.0,5.82
350,micheweni,-4.97,76.85,100.0,56.0,11.54
351,egvekinot,66.32,38.06,88.0,76.0,2.82
352,boras,57.72,49.03,76.0,75.0,10.29
353,norman wells,65.28,39.2,48.0,75.0,4.7
354,san borja,-14.86,75.68,77.0,36.0,0.25
355,vila velha,-3.71,77.0,88.0,40.0,9.17
356,pangnirtung,66.15,26.63,94.0,92.0,8.63
357,wanxian,30.8,65.78,99.0,92.0,2.93
358,mbanza-ngungu,-5.25,70.37,91.0,24.0,6.62
359,santa fe,-31.62,66.77,98.0,12.0,5.06
360,hualmay,-11.1,58.76,92.0,88.0,2.59
361,ust-tsilma,65.44,62.18,87.0,56.0,7.63
362,muros,42.77,57.2,100.0,90.0,2.24
363,atherton,53.52,45.46,87.0,92.0,3.36
364,baykit,61.68,51.65,66.0,20.0,5.95
365,sovetskiy,56.76,61.91,92.0,0.0,10.2
366,mirnyy,56.57,51.2,100.0,92.0,7.29
367,caravelas,-17.73,76.22,100.0,68.0,7.74
368,los llanos de aridane,28.66,71.6,73.0,20.0,10.29
369,nabire,-3.36,73.43,93.0,68.0,1.59
370,umm kaddadah,13.6,77.75,71.0,0.0,4.61
371,athabasca,54.72,32.3,79.0,92.0,10.09
372,levelland,33.59,55.94,80.0,1.0,6.93
373,san pedro,-33.68,59.75,92.0,0.0,2.59
374,paducah,37.08,61.48,100.0,90.0,5.82
375,kodinar,20.79,89.81,59.0,8.0,10.31
376,jacareacanga,-6.22,75.68,92.0,12.0,2.04
377,ouadda,8.07,72.8,96.0,56.0,4.61
378,boyolangu,-8.09,90.35,51.0,8.0,5.28
379,port blair,11.67,81.8,100.0,48.0,7.74
380,koumac,-20.56,73.7,60.0,8.0,6.62
381,kavieng,-2.57,84.23,100.0,20.0,9.19
382,malumfashi,11.79,69.92,95.0,24.0,9.86
383,san buenaventura,27.06,66.14,99.0,44.0,0.47
384,shizunai,42.33,65.15,98.0,64.0,4.61
385,port-gentil,-0.72,77.0,94.0,75.0,9.17
386,taltal,-25.41,48.14,100.0,20.0,1.59
387,tignere,7.37,63.98,94.0,32.0,3.15
388,esfarayen,37.08,68.0,34.0,0.0,4.7
389,moussoro,13.64,80.63,77.0,8.0,2.93
390,arroyo,41.39,48.31,92.0,1.0,3.36
391,bukama,-9.2,80.18,58.0,64.0,4.61
392,ryomgard,56.38,48.2,87.0,12.0,9.17
393,berlevag,70.86,47.33,95.0,8.0,19.71
394,praya,-8.71,84.2,66.0,75.0,13.87
395,gebze,40.8,64.8,93.0,75.0,3.36
396,talnakh,69.49,46.16,93.0,92.0,12.21
397,la brea,10.24,75.2,100.0,20.0,11.21
398,chapais,49.78,32.0,100.0,90.0,8.05
399,rudnya,50.8,66.86,56.0,0.0,9.64
400,nouadhibou,20.93,71.18,96.0,0.0,16.8
401,dabola,10.74,66.41,97.0,64.0,2.59
402,mtambile,-5.38,78.56,94.0,36.0,12.21
403,nome,30.04,76.87,90.0,90.0,4.7
404,careiro da varzea,-3.2,78.67,69.0,0.0,3.36
405,billings,45.79,55.94,61.0,40.0,13.87
406,khorixas,-20.37,66.32,39.0,32.0,2.71
407,ha giang,22.83,83.15,62.0,0.0,2.15
408,kaspiyskiy,45.39,71.72,74.0,0.0,9.53
409,tanete,-3.94,91.07,44.0,0.0,14.79
410,kayalpattinam,8.57,88.46,67.0,0.0,12.21
411,san cristobal,-0.39,48.2,87.0,75.0,2.24
412,coquimbo,-29.95,51.8,93.0,90.0,6.93
413,ambon,47.55,66.2,100.0,90.0,17.22
414,ust-nera,64.57,30.41,85.0,88.0,1.92
415,atocha,-1.22,48.2,87.0,75.0,2.24
416,entre rios,-11.94,75.41,92.0,92.0,7.63
417,lodwar,3.12,78.92,57.0,0.0,5.5
418,tervel,43.43,64.97,67.0,0.0,6.51
419,bulgan,48.81,55.43,50.0,56.0,4.16
420,patacamaya,-17.23,26.63,84.0,0.0,3.04
421,bethanien,-26.5,52.73,31.0,0.0,4.38
422,morgan city,29.7,74.37,96.0,1.0,3.36
423,skelleftea,64.75,46.4,75.0,32.0,11.41
424,nizhnyaya tura,58.62,57.05,76.0,8.0,5.5
425,clyde river,70.47,17.6,92.0,1.0,13.87
426,svetlaya,46.54,56.6,100.0,92.0,8.41
427,isangel,-19.55,71.45,100.0,92.0,18.03
428,abu samrah,35.3,72.98,65.0,0.0,6.85
429,reyes,-14.3,75.5,83.0,8.0,2.15
430,jimenez,8.54,73.43,100.0,88.0,2.37
431,kawalu,-7.38,80.9,56.0,0.0,2.82
432,mandal,48.82,53.18,45.0,0.0,4.05
433,plettenberg bay,-34.05,58.58,100.0,0.0,4.94
434,maragogi,-9.01,73.61,94.0,92.0,5.17
435,mareeba,-16.99,71.6,83.0,75.0,14.99
436,pandan,11.72,83.06,100.0,44.0,4.83
437,goderich,43.74,45.53,91.0,0.0,2.93
438,kem,2.68,68.21,97.0,12.0,4.38
439,san francisco,37.78,58.12,89.0,20.0,6.93
440,villa altagracia,18.67,75.2,94.0,40.0,4.7
441,eucaliptus,-17.6,26.63,84.0,0.0,3.04
442,isabela,10.2,78.2,99.0,44.0,3.94
443,ormara,25.21,80.99,86.0,8.0,2.71
444,caloundra,-26.8,71.6,60.0,20.0,12.75
445,henties bay,-22.12,54.35,100.0,20.0,3.83
446,simao,22.76,75.95,79.0,56.0,2.93
447,priekule,56.45,55.4,76.0,92.0,19.46
448,padang,-0.92,82.07,100.0,32.0,6.06
449,esso,55.93,38.78,92.0,80.0,2.71
450,bonthe,7.53,76.4,98.0,92.0,4.16
451,davila,18.47,87.8,74.0,20.0,9.17
452,genthin,52.41,50.75,99.0,92.0,5.95
453,sidrolandia,-20.93,73.4,73.0,0.0,5.82
454,esperantinopolis,-4.87,81.8,60.0,32.0,6.51
455,kaeo,-35.1,56.51,73.0,0.0,11.99
456,kruisfontein,-34.0,57.77,93.0,0.0,6.29
457,garowe,8.41,86.48,22.0,0.0,6.06
458,kendari,-3.99,87.2,59.0,32.0,4.38
459,ahuimanu,21.44,79.38,76.0,90.0,8.05
460,kiunga,-6.12,76.31,92.0,92.0,2.15
461,xining,36.62,59.12,62.0,32.0,1.14
462,tutoia,-2.76,77.39,85.0,0.0,15.68
463,saint-francois,46.42,68.0,60.0,90.0,3.36
464,popondetta,-8.77,70.37,100.0,92.0,2.04
465,bang ban,14.37,91.4,59.0,40.0,11.41
466,kuala terengganu,5.33,89.6,70.0,75.0,4.7
467,ponta do sol,-20.63,59.75,88.0,0.0,5.28
468,jalingo,10.3,70.82,96.0,80.0,8.86
469,asind,25.73,73.88,100.0,92.0,7.74
470,matara,-13.74,36.98,100.0,48.0,2.15
471,atambua,-9.11,87.47,67.0,0.0,3.04
472,yar-sale,66.83,48.77,98.0,92.0,19.04
473,belozerskoye,55.82,55.16,79.0,0.0,9.75
474,xai-xai,-25.04,73.34,92.0,80.0,8.3
475,lasa,34.92,80.6,69.0,20.0,8.05
476,pontianak,-0.02,95.0,41.0,75.0,5.82
477,natal,-5.81,71.6,88.0,20.0,4.7
478,the pas,53.82,24.8,79.0,1.0,2.24
479,papetoai,-17.5,77.0,65.0,40.0,1.12
480,namibe,-15.19,64.97,100.0,0.0,4.94
481,heinola,61.2,48.2,81.0,75.0,5.82
482,taunggyi,20.78,78.02,91.0,36.0,2.59
483,tarrega,41.65,68.0,100.0,20.0,3.36
484,port moresby,-9.47,77.75,94.0,36.0,25.52
485,kjollefjord,70.95,47.15,91.0,12.0,19.71
486,tshikapa,-6.42,77.57,86.0,0.0,1.48
487,anahuac,29.77,77.79,83.0,40.0,19.46
488,bhatkal,13.97,79.19,100.0,20.0,4.72
489,chaman,30.92,74.78,23.0,0.0,4.05
490,artyom,43.36,66.2,68.0,75.0,11.18
491,kayerkan,69.35,46.7,99.0,92.0,14.45
492,sabha,27.03,72.8,47.0,0.0,11.43
493,senanga,-16.1,76.58,28.0,8.0,13.22
494,ugoofaaru,5.67,81.35,100.0,76.0,5.17
495,severo-yeniseyskiy,60.37,53.0,68.0,8.0,2.82
496,jambi,-1.6,91.34,62.0,0.0,6.4
497,nueva helvecia,-34.28,65.06,99.0,76.0,4.38
498,pomabamba,-8.82,35.81,89.0,0.0,1.25
499,biltine,14.53,85.85,34.0,0.0,14.23
500,trat,12.25,89.6,59.0,20.0,5.82
501,arman,59.7,59.0,47.0,40.0,8.95
502,namatanai,-3.66,83.6,99.0,8.0,11.88
503,mantua,45.16,62.58,82.0,0.0,2.24
504,bayan,47.25,52.55,45.0,8.0,7.29
505,nancha,47.14,51.83,90.0,64.0,2.93
